transformed_value,cluster_value
Where Have All the Flowers Gone? by Marlene Dietrich,Where Have All the Flowers Gone? by Marlene Dietrich
Where Have All the Flowers Gone? by Marlene Dietrich,Where Have All The Flowers Gone? by Marlene Dietrich
Tangled Up In Blue by Bob Dylan,Tangled Up In Blue by Bob Dylan
Tangled Up In Blue by Bob Dylan,Tangled up in Blue by Bob Dylan
In the Air Tonight by Phil Collins,In the Air Tonight by Phil Collins
In the Air Tonight by Phil Collins,In The Air Tonight by Phil Collins
The Very Thought Of You by Nat King Cole,The Very Thought Of You by Nat King Cole
The Very Thought Of You by Nat King Cole,The Very Thought of You by Nat King Cole
Mo Money Mo Problems by The Notorious B.I.G.,Mo Money Mo Problems by The Notorious B.I.G.
Mo Money Mo Problems by The Notorious B.I.G.,"Mo Money, Mo Problems by The Notorious B.I.G."
I Have A Dream by ABBA,I Have A Dream by ABBA
I Have A Dream by ABBA,I Have a Dream by ABBA
Abide With Me by Clara Butt,Abide With Me by Clara Butt
Abide With Me by Clara Butt,Abide with Me by Clara Butt
Some of These Days by Sophie Tucker,Some of These Days by Sophie Tucker
Some of These Days by Sophie Tucker,Some Of These Days by Sophie Tucker
September in the Rain by Dinah Washington,September in the Rain by Dinah Washington
September in the Rain by Dinah Washington,September In The Rain by Dinah Washington
Goldberg Variations - Variations Nos. 1 & 2 by Johann Sebastian Bach,Goldberg Variations - Variations Nos. 1 & 2 by Johann Sebastian Bach
Goldberg Variations - Variations Nos. 1 & 2 by Johann Sebastian Bach,Goldberg variations - Variations Nos. 1 & 2 by Johann Sebastian Bach
Hanging On The Telephone by Blondie,Hanging On The Telephone by Blondie
Hanging On The Telephone by Blondie,Hanging on the Telephone by Blondie
Concerto in The Italian Style by Johann Sebastian Bach,Concerto in The Italian Style by Johann Sebastian Bach
Concerto in The Italian Style by Johann Sebastian Bach,Concerto in the Italian Style by Johann Sebastian Bach
Is This Love by Bob Marley,Is This Love by Bob Marley
Is This Love by Bob Marley,Is this Love by Bob Marley
Bachianas brasileiras No. 5 by Heitor Villa‐Lobos,Bachianas brasileiras No. 5 by Heitor Villa‐Lobos
Bachianas brasileiras No. 5 by Heitor Villa‐Lobos,Bachianas Brasileiras no. 5 by Heitor Villa‐Lobos
Symphony No. 4 In D Minor by Robert Schumann,Symphony No. 4 In D Minor by Robert Schumann
Symphony No. 4 In D Minor by Robert Schumann,Symphony No. 4 in D minor by Robert Schumann
Test Match Special - 09/08/1991 by Brian Johnston & Jonathan Agnew,Test Match Special - 09/08/1991 by Brian Johnston & Jonathan Agnew
Test Match Special - 09/08/1991 by Brian Johnston & Jonathan Agnew,Test Match Special 09/08/1991 by Brian Johnston & Jonathan Agnew
I Was Glad by Hubert Parry,I Was Glad by Hubert Parry
I Was Glad by Hubert Parry,I was Glad by Hubert Parry
Don't Stop Me Now by Queen,Don't Stop Me Now by Queen
Don't Stop Me Now by Queen,Don't Stop me Now by Queen
Deep In A Dream by Frank Sinatra,Deep In A Dream by Frank Sinatra
Deep In A Dream by Frank Sinatra,Deep in a Dream by Frank Sinatra
Zadok the Priest by George Frideric Handel,Zadok the Priest by George Frideric Handel
Zadok the Priest by George Frideric Handel,Zadok The Priest by George Frideric Handel
Piano Concerto in A Minor by Edvard Grieg,Piano Concerto in A Minor by Edvard Grieg
Piano Concerto in A Minor by Edvard Grieg,Piano Concerto in A minor by Edvard Grieg
Walk Of Life by Dire Straits,Walk Of Life by Dire Straits
Walk Of Life by Dire Straits,Walk of Life by Dire Straits
Into The Groove by Madonna,Into The Groove by Madonna
Into The Groove by Madonna,Into the Groove by Madonna
Le Bateau Des Iles by Tino Rossi,Le Bateau Des Iles by Tino Rossi
Le Bateau Des Iles by Tino Rossi,Le bateau des iles by Tino Rossi
Oh What A Beautiful Morning by Gordon MacRae,Oh What A Beautiful Morning by Gordon MacRae
Oh What A Beautiful Morning by Gordon MacRae,"Oh, What a Beautiful Morning by Gordon MacRae"
Diamonds On The Soles Of Her Shoes by Paul Simon,Diamonds On The Soles Of Her Shoes by Paul Simon
Diamonds On The Soles Of Her Shoes by Paul Simon,Diamonds on the Soles of her Shoes by Paul Simon
Violin Concerto in D Minor by Jean Sibelius,Violin Concerto in D Minor by Jean Sibelius
Violin Concerto in D Minor by Jean Sibelius,Violin Concerto in D minor by Jean Sibelius
The Reel Of The 51st Highland Division by Jimmy Shand and His Band,The Reel Of The 51st Highland Division by Jimmy Shand and His Band
The Reel Of The 51st Highland Division by Jimmy Shand and His Band,The Reel of the 51st Highland Division by Jimmy Shand and His Band
You Are The Sunshine Of My Life by Stevie Wonder,You Are The Sunshine Of My Life by Stevie Wonder
You Are The Sunshine Of My Life by Stevie Wonder,You are the Sunshine of My Life by Stevie Wonder
Suite for Solo Cello No. 1 in G Major - 1st movement by Johann Sebastian Bach,Suite for Solo Cello No. 1 in G Major - 1st movement by Johann Sebastian Bach
Suite for Solo Cello No. 1 in G Major - 1st movement by Johann Sebastian Bach,Suite for Solo Cello No. 1 in G major - 1st movement by Johann Sebastian Bach
The Creed by Choir of the Russian Church of the Metropolitan of Paris,The Creed by Choir of the Russian Church of the Metropolitan of Paris
The Creed by Choir of the Russian Church of the Metropolitan of Paris,The Creed by Choir of Russian Church of the Metropolitan of Paris
Bright Side Of The Road by Van Morrison,Bright Side Of The Road by Van Morrison
Bright Side Of The Road by Van Morrison,Bright Side of the Road by Van Morrison
Love Me Or Leave Me by Nina Simone,Love Me Or Leave Me by Nina Simone
Love Me Or Leave Me by Nina Simone,Love me or Leave Me by Nina Simone
A Kiss to Build a Dream On by Louis Armstrong,A Kiss to Build a Dream On by Louis Armstrong
A Kiss to Build a Dream On by Louis Armstrong,A Kiss To Build A Dream On by Louis Armstrong
Thanks A Million by Louis Armstrong & His Orchestra,Thanks A Million by Louis Armstrong & His Orchestra
Thanks A Million by Louis Armstrong & His Orchestra,Thanks a Million by Louis Armstrong & His Orchestra
Just One Of Those Things by Ella Fitzgerald,Just One Of Those Things by Ella Fitzgerald
Just One Of Those Things by Ella Fitzgerald,Just One of Those Things by Ella Fitzgerald
Train And The River by The Jimmy Giuffre Trio,Train And The River by The Jimmy Giuffre Trio
Train And The River by The Jimmy Giuffre Trio,Train and the River by The Jimmy Giuffre Trio
Song Of The Flea by Modest Mussorgsky,Song Of The Flea by Modest Mussorgsky
Song Of The Flea by Modest Mussorgsky,Song of the Flea by Modest Mussorgsky
Love Letters In The Sand by Pat Boone,Love Letters In The Sand by Pat Boone
Love Letters In The Sand by Pat Boone,Love Letters in the Sand by Pat Boone
De L'Autre Cote De La Rue by Édith Piaf,De L'Autre Cote De La Rue by Édith Piaf
De L'Autre Cote De La Rue by Édith Piaf,De L'Autre Cote de la Rue by Édith Piaf
How High The Moon by Les Paul & Mary Ford,How High The Moon by Les Paul & Mary Ford
How High The Moon by Les Paul & Mary Ford,How High the Moon by Les Paul & Mary Ford
Serenade In Blue by Glenn Miller Orchestra,Serenade In Blue by Glenn Miller Orchestra
Serenade In Blue by Glenn Miller Orchestra,Serenade in Blue by Glenn Miller Orchestra
Born in a Trunk by Judy Garland,Born in a Trunk by Judy Garland
Born in a Trunk by Judy Garland,Born In A Trunk by Judy Garland
Blow The Wind Southerly by Kathleen Ferrier & Phyllis Spurr,Blow The Wind Southerly by Kathleen Ferrier & Phyllis Spurr
Blow The Wind Southerly by Kathleen Ferrier & Phyllis Spurr,Blow the Wind Southerly by Kathleen Ferrier & Phyllis Spurr
We'll Keep A Welcome by Harry Secombe,We'll Keep A Welcome by Harry Secombe
We'll Keep A Welcome by Harry Secombe,We'll Keep a Welcome by Harry Secombe
(White Man) in Hammersmith Palais by The Clash,(White Man) in Hammersmith Palais by The Clash
(White Man) in Hammersmith Palais by The Clash,White Man in Hammersmith Palais by The Clash
Send In The Clowns by Sarah Vaughan,Send In The Clowns by Sarah Vaughan
Send In The Clowns by Sarah Vaughan,Send in the Clowns by Sarah Vaughan
Begin The Beguine by Artie Shaw and His Orchestra,Begin The Beguine by Artie Shaw and His Orchestra
Begin The Beguine by Artie Shaw and His Orchestra,Begin the Beguine by Artie Shaw and His Orchestra
Holding Back The Years by Simply Red,Holding Back The Years by Simply Red
Holding Back The Years by Simply Red,Holding Back the Years by Simply Red
I Belong to Glasgow by Will Fyffe,I Belong to Glasgow by Will Fyffe
I Belong to Glasgow by Will Fyffe,I Belong To Glasgow by Will Fyffe
Reasons To Be Cheerful Part 3 by Ian Dury & The Blockheads,Reasons To Be Cheerful Part 3 by Ian Dury & The Blockheads
Reasons To Be Cheerful Part 3 by Ian Dury & The Blockheads,Reasons to be Cheerful Part 3 by Ian Dury & The Blockheads
The Dream Of Gerontius (Prelude) by Edward Elgar,The Dream Of Gerontius (Prelude) by Edward Elgar
The Dream Of Gerontius (Prelude) by Edward Elgar,The Dream of Gerontius - Prelude by Edward Elgar
I Remember It Well (from Gigi),I Remember It Well (from Gigi)
I Remember It Well (from Gigi),I Remember it Well (from Gigi)
My  Funny Valentine by Chet Baker,My  Funny Valentine by Chet Baker
My  Funny Valentine by Chet Baker,My Funny Valentine by Chet Baker
The Man That Got Away by Judy Garland,The Man That Got Away by Judy Garland
The Man That Got Away by Judy Garland,The Man that Got Away by Judy Garland
Scenes From Childhood by Robert Schumann,Scenes From Childhood by Robert Schumann
Scenes From Childhood by Robert Schumann,Scenes from Childhood by Robert Schumann
"String Quartet No. 13 in B flat major, Op. 130 - 5th movement by Ludwig van Beethoven","String Quartet No. 13 in B flat major, Op. 130 - 5th movement by Ludwig van Beethoven"
"String Quartet No. 13 in B flat major, Op. 130 - 5th movement by Ludwig van Beethoven","String Quartet No. 13 in B flat major, Op 130 - 5th movement by Ludwig van Beethoven"
Lady In Red by Chris de Burgh,Lady In Red by Chris de Burgh
Lady In Red by Chris de Burgh,Lady in Red by Chris de Burgh
I'm A Woman by Peggy Lee,I'm A Woman by Peggy Lee
I'm A Woman by Peggy Lee,I'm a Woman by Peggy Lee
Read All About it by Emeli Sandé,Read All About it by Emeli Sandé
Read All About it by Emeli Sandé,Read all about it by Emeli Sandé
The Importance Of Being Ernest by Oscar Wilde,The Importance Of Being Ernest by Oscar Wilde
The Importance Of Being Ernest by Oscar Wilde,The Importance of Being Ernest by Oscar Wilde
Battle Hymn Of The Republic by The Tabernacle Choir at Temple Square,Battle Hymn Of The Republic by The Tabernacle Choir at Temple Square
Battle Hymn Of The Republic by The Tabernacle Choir at Temple Square,Battle Hymn of the Republic by The Tabernacle Choir at Temple Square
Symphony No. 5 in E flat major by Jean Sibelius,Symphony No. 5 in E flat major by Jean Sibelius
Symphony No. 5 in E flat major by Jean Sibelius,Symphony No. 5 In E Flat Major by Jean Sibelius
Sultans Of Swing by Dire Straits,Sultans Of Swing by Dire Straits
Sultans Of Swing by Dire Straits,Sultans of Swing by Dire Straits
Symphony No. 3 in D minor by Gustav Mahler,Symphony No. 3 in D minor by Gustav Mahler
Symphony No. 3 in D minor by Gustav Mahler,Symphony No. 3 in D Minor by Gustav Mahler
Violin Concerto in D major by Ludwig van Beethoven,Violin Concerto in D major by Ludwig van Beethoven
Violin Concerto in D major by Ludwig van Beethoven,Violin Concerto in D Major by Ludwig van Beethoven
Mass In B Minor by Johann Sebastian Bach,Mass In B Minor by Johann Sebastian Bach
Mass In B Minor by Johann Sebastian Bach,Mass in B Minor by Johann Sebastian Bach
Walking In The Rain by Grace Jones,Walking In The Rain by Grace Jones
Walking In The Rain by Grace Jones,Walking in the Rain by Grace Jones
Dance of the Gnomes by Franz Liszt,Dance of the Gnomes by Franz Liszt
Dance of the Gnomes by Franz Liszt,Dance Of The Gnomes by Franz Liszt
Diminuendo and Crescendo In Blue by Duke Ellington & His Orchestra,Diminuendo and Crescendo In Blue by Duke Ellington & His Orchestra
Diminuendo and Crescendo In Blue by Duke Ellington & His Orchestra,Diminuendo and Crescendo in Blue by Duke Ellington & His Orchestra
A Transport of Delight by Flanders and Swann,A Transport of Delight by Flanders and Swann
A Transport of Delight by Flanders and Swann,A Transport Of Delight by Flanders and Swann
Pride (In The Name of Love) by U2,Pride (In The Name of Love) by U2
Pride (In The Name of Love) by U2,Pride (In the Name of Love) by U2
Suite for Solo Cello No. 5 in C minor by Johann Sebastian Bach,Suite for Solo Cello No. 5 in C minor by Johann Sebastian Bach
Suite for Solo Cello No. 5 in C minor by Johann Sebastian Bach,Suite for Solo Cello No. 5 In C minor by Johann Sebastian Bach
Over the Rainbow by Judy Garland,Over the Rainbow by Judy Garland
Over the Rainbow by Judy Garland,Over The Rainbow by Judy Garland
La Vie En Rose by Louis Armstrong,La Vie En Rose by Louis Armstrong
La Vie En Rose by Louis Armstrong,La Vie en Rose by Louis Armstrong
L'Ame Des Poètes by Charles Trenet,L'Ame Des Poètes by Charles Trenet
L'Ame Des Poètes by Charles Trenet,L'Ame des Poètes by Charles Trenet
Sonata in F Minor by Johannes Brahms,Sonata in F Minor by Johannes Brahms
Sonata in F Minor by Johannes Brahms,Sonata in F minor by Johannes Brahms
I'm Gonna Be  (500 Miles) by The Proclaimers,I'm Gonna Be  (500 Miles) by The Proclaimers
I'm Gonna Be  (500 Miles) by The Proclaimers,I'm Gonna Be (500 Miles) by The Proclaimers
Lo! Hear The Gentle Lark by Sir Henry Rowley Bishop,Lo! Hear The Gentle Lark by Sir Henry Rowley Bishop
Lo! Hear The Gentle Lark by Sir Henry Rowley Bishop,Lo! Hear the Gentle Lark by Sir Henry Rowley Bishop
Symphony No. 5 in C minor by Ludwig van Beethoven,Symphony No. 5 in C minor by Ludwig van Beethoven
Symphony No. 5 in C minor by Ludwig van Beethoven,Symphony No. 5 In C Minor by Ludwig van Beethoven
Symphony No. 2 in D major by Johannes Brahms,Symphony No. 2 in D major by Johannes Brahms
Symphony No. 2 in D major by Johannes Brahms,Symphony No. 2 in D Major by Johannes Brahms
The Surrey with the Fringe on Top by Lena Horne,The Surrey with the Fringe on Top by Lena Horne
The Surrey with the Fringe on Top by Lena Horne,The Surrey With the Fringe on Top by Lena Horne
Rock-a-Bye Your Baby by Judy Garland,Rock-a-Bye Your Baby by Judy Garland
Rock-a-Bye Your Baby by Judy Garland,Rock-A-Bye Your Baby by Judy Garland
You've Got To Hide Your Love Away by The Beatles,You've Got To Hide Your Love Away by The Beatles
You've Got To Hide Your Love Away by The Beatles,You've Got to Hide Your Love Away by The Beatles
Variations On A Theme Of Frank Bridge by Benjamin Britten,Variations On A Theme Of Frank Bridge by Benjamin Britten
Variations On A Theme Of Frank Bridge by Benjamin Britten,Variations on a Theme of Frank Bridge by Benjamin Britten
Moments Of Pleasure by Kate Bush,Moments Of Pleasure by Kate Bush
Moments Of Pleasure by Kate Bush,Moments of Pleasure by Kate Bush
He's A Tramp by Peggy Lee,He's A Tramp by Peggy Lee
He's A Tramp by Peggy Lee,He's a Tramp by Peggy Lee
Visions Of Johanna by Bob Dylan,Visions Of Johanna by Bob Dylan
Visions Of Johanna by Bob Dylan,Visions of Johanna by Bob Dylan
"The foggy, foggy dew by Benjamin Britten","The foggy, foggy dew by Benjamin Britten"
"The foggy, foggy dew by Benjamin Britten","The Foggy, Foggy Dew by Benjamin Britten"
The Marriage of Figaro Overture by Wolfgang Amadeus Mozart,The Marriage of Figaro Overture by Wolfgang Amadeus Mozart
The Marriage of Figaro Overture by Wolfgang Amadeus Mozart,The Marriage Of Figaro Overture by Wolfgang Amadeus Mozart
A Hymn To Him by Rex Harrison,A Hymn To Him by Rex Harrison
A Hymn To Him by Rex Harrison,A Hymn to Him by Rex Harrison
Also Sprach Zarathustra by Richard Strauss,Also Sprach Zarathustra by Richard Strauss
Also Sprach Zarathustra by Richard Strauss,Also sprach Zarathustra by Richard Strauss
"String Quartet No. 12 in E flat major, Op. 127 by Ludwig van Beethoven","String Quartet No. 12 in E flat major, Op. 127 by Ludwig van Beethoven"
"String Quartet No. 12 in E flat major, Op. 127 by Ludwig van Beethoven","String Quartet No. 12 in E Flat Major, Op. 127 by Ludwig van Beethoven"
As Long as He Needs Me by Shirley Bassey,As Long as He Needs Me by Shirley Bassey
As Long as He Needs Me by Shirley Bassey,As Long As He Needs Me by Shirley Bassey
Arrival of the Queen of Sheba by George Frideric Handel,Arrival of the Queen of Sheba by George Frideric Handel
Arrival of the Queen of Sheba by George Frideric Handel,The Arrival of the Queen of Sheba by George Frideric Handel
Georgia On My Mind by The Oscar Peterson Trio,Georgia On My Mind by The Oscar Peterson Trio
Georgia On My Mind by The Oscar Peterson Trio,Georgia on My Mind by The Oscar Peterson Trio
Land of My Fathers by Bryn Terfel,Land of My Fathers by Bryn Terfel
Land of My Fathers by Bryn Terfel,Land of my Fathers by Bryn Terfel
Hearts And Bones by Paul Simon,Hearts And Bones by Paul Simon
Hearts And Bones by Paul Simon,Hearts and Bones by Paul Simon
You've Changed by Billie Holiday,You've Changed by Billie Holiday
You've Changed by Billie Holiday,You've changed by Billie Holiday
He was Despised (from Messiah) by George Frideric Handel,He was Despised (from Messiah) by George Frideric Handel
He was Despised (from Messiah) by George Frideric Handel,He was despised (from Messiah) by George Frideric Handel
"String Quartet No. 9 in C Major, Op. 59/3 'Rasumovsky' by Ludwig van Beethoven","String Quartet No. 9 in C Major, Op. 59/3 'Rasumovsky' by Ludwig van Beethoven"
"String Quartet No. 9 in C Major, Op. 59/3 'Rasumovsky' by Ludwig van Beethoven","String Quartet No. 9 in C major, Op. 59/3 'Rasumovsky' by Ludwig van Beethoven"
With a Little Bit of Luck by Stanley Holloway,With a Little Bit of Luck by Stanley Holloway
With a Little Bit of Luck by Stanley Holloway,With A Little Bit Of Luck by Stanley Holloway
Symphony No. 4 in E minor by Johannes Brahms,Symphony No. 4 in E minor by Johannes Brahms
Symphony No. 4 in E minor by Johannes Brahms,Symphony No. 4 In E Minor by Johannes Brahms
Concerto For Double String Orchestra by Michael Tippett,Concerto For Double String Orchestra by Michael Tippett
Concerto For Double String Orchestra by Michael Tippett,Concerto for Double String Orchestra by Michael Tippett
Violin Concerto No. 1 in G minor by Max Bruch,Violin Concerto No. 1 in G minor by Max Bruch
Violin Concerto No. 1 in G minor by Max Bruch,Violin Concerto No. 1 in G Minor by Max Bruch
They Can't Take That Away From Me by Fred Astaire,They Can't Take That Away From Me by Fred Astaire
They Can't Take That Away From Me by Fred Astaire,They Can't Take that Away from Me by Fred Astaire
Piano Concerto No. 2 in B flat major by Johannes Brahms,Piano Concerto No. 2 in B flat major by Johannes Brahms
Piano Concerto No. 2 in B flat major by Johannes Brahms,Piano Concerto No. 2 in B Flat Major by Johannes Brahms
The Marriage Of Figaro by Wolfgang Amadeus Mozart,The Marriage Of Figaro by Wolfgang Amadeus Mozart
The Marriage Of Figaro by Wolfgang Amadeus Mozart,The Marriage of Figaro by Wolfgang Amadeus Mozart
My Very Good Friend the Milkman by Fats Waller,My Very Good Friend the Milkman by Fats Waller
My Very Good Friend the Milkman by Fats Waller,My Very Good Friend The Milkman by Fats Waller
I Left My Heart In San Francisco,I Left My Heart In San Francisco
I Left My Heart In San Francisco,I Left My Heart in San Francisco
Concierto De Aranjuez,Concierto De Aranjuez
Concierto De Aranjuez,Concierto de Aranjuez
"St Matthew Passion - Kommt, ihr Töchter by Johann Sebastian Bach","St Matthew Passion - Kommt, ihr Töchter by Johann Sebastian Bach"
"St Matthew Passion - Kommt, ihr Töchter by Johann Sebastian Bach","St Matthew Passion - Kommt, Ihr Töchter by Johann Sebastian Bach"
Violin Concerto in E Minor by Felix Mendelssohn,Violin Concerto in E Minor by Felix Mendelssohn
Violin Concerto in E Minor by Felix Mendelssohn,Violin Concerto in E minor by Felix Mendelssohn
The Lady Is A Tramp by Lena Horne,The Lady Is A Tramp by Lena Horne
The Lady Is A Tramp by Lena Horne,The Lady is a Tramp by Lena Horne
Arrival of the Queen of Sheba (from Solomon) by George Frideric Handel,Arrival of the Queen of Sheba (from Solomon) by George Frideric Handel
Arrival of the Queen of Sheba (from Solomon) by George Frideric Handel,Arrival Of The Queen Of Sheba (from Solomon) by George Frideric Handel
Piano Concerto No. 1 in C major by Ludwig van Beethoven,Piano Concerto No. 1 in C major by Ludwig van Beethoven
Piano Concerto No. 1 in C major by Ludwig van Beethoven,Piano Concerto No. 1 in C Major by Ludwig van Beethoven
Piano Concerto in A Minor - 1st Movement by Edvard Grieg,Piano Concerto in A Minor - 1st Movement by Edvard Grieg
Piano Concerto in A Minor - 1st Movement by Edvard Grieg,Piano Concerto in A minor - 1st movement by Edvard Grieg
Do Not Go Gentle into that Good Night by Dylan Thomas,Do Not Go Gentle into that Good Night by Dylan Thomas
Do Not Go Gentle into that Good Night by Dylan Thomas,Do Not Go Gentle Into That Good Night by Dylan Thomas
Roses Of Picardy by Haydn Wood,Roses Of Picardy by Haydn Wood
Roses Of Picardy by Haydn Wood,Roses of Picardy by Haydn Wood
The Day That The Circus Left Town by Eartha Kitt,The Day That The Circus Left Town by Eartha Kitt
The Day That The Circus Left Town by Eartha Kitt,The Day That the Circus Left Town by Eartha Kitt
If I Were A Rich Man by Topol,If I Were A Rich Man by Topol
If I Were A Rich Man by Topol,If I Were a Rich Man by Topol
Ring Of Fire by Johnny Cash,Ring Of Fire by Johnny Cash
Ring Of Fire by Johnny Cash,Ring of Fire by Johnny Cash
Blest Pair Of Sirens by Hubert Parry,Blest Pair Of Sirens by Hubert Parry
Blest Pair Of Sirens by Hubert Parry,Blest Pair of Sirens by Hubert Parry
Stairway To Heaven by Led Zeppelin,Stairway To Heaven by Led Zeppelin
Stairway To Heaven by Led Zeppelin,Stairway to Heaven by Led Zeppelin
Come Rain Or Come Shine by Judy Garland,Come Rain Or Come Shine by Judy Garland
Come Rain Or Come Shine by Judy Garland,Come Rain or Come Shine by Judy Garland
And This Is My Beloved by Doretta Morrow,And This Is My Beloved by Doretta Morrow
And This Is My Beloved by Doretta Morrow,And This is My Beloved by Doretta Morrow
F.E.A.R by Ian Brown,F.E.A.R by Ian Brown
F.E.A.R by Ian Brown,F.E.A.R. by Ian Brown
Symphony No. 9 in C major 'Great' by Franz Schubert,Symphony No. 9 in C major 'Great' by Franz Schubert
Symphony No. 9 in C major 'Great' by Franz Schubert,Symphony No. 9 In C major 'Great' by Franz Schubert
When I Fall In Love by Nat King Cole,When I Fall In Love by Nat King Cole
When I Fall In Love by Nat King Cole,When I Fall in Love by Nat King Cole
Us and Them by Pink Floyd,Us and Them by Pink Floyd
Us and Them by Pink Floyd,Us And Them by Pink Floyd
The Swan Of Tuonela by Jean Sibelius,The Swan Of Tuonela by Jean Sibelius
The Swan Of Tuonela by Jean Sibelius,The Swan of Tuonela by Jean Sibelius
Sweet Caroline (Good Times Never Seemed so Good) by Neil Diamond,Sweet Caroline (Good Times Never Seemed so Good) by Neil Diamond
Sweet Caroline (Good Times Never Seemed so Good) by Neil Diamond,Sweet Caroline (Good Times Never Seemed So Good) by Neil Diamond
The Man Who Broke The Bank At Monte Carlo by Charles Coborn,The Man Who Broke The Bank At Monte Carlo by Charles Coborn
The Man Who Broke The Bank At Monte Carlo by Charles Coborn,The Man Who Broke the Bank at Monte Carlo by Charles Coborn
How High the Moon by Ella Fitzgerald,How High the Moon by Ella Fitzgerald
How High the Moon by Ella Fitzgerald,How high the Moon by Ella Fitzgerald
Octet in F major by Franz Schubert,Octet in F major by Franz Schubert
Octet in F major by Franz Schubert,Octet In F Major by Franz Schubert
March Of The Men Of Harlech by Morriston Orpheus Choir,March Of The Men Of Harlech by Morriston Orpheus Choir
March Of The Men Of Harlech by Morriston Orpheus Choir,March of the Men of Harlech by Morriston Orpheus Choir
I Dreamed A Dream by Susan Boyle,I Dreamed A Dream by Susan Boyle
I Dreamed A Dream by Susan Boyle,I Dreamed a Dream by Susan Boyle
The Times They are A-Changin' by Bob Dylan,The Times They are A-Changin' by Bob Dylan
The Times They are A-Changin' by Bob Dylan,The Times They Are A-Changin' by Bob Dylan
Fix You by Coldplay,Fix You by Coldplay
Fix You by Coldplay,Fix you by Coldplay
Symphony No. 3 in F major by Johannes Brahms,Symphony No. 3 in F major by Johannes Brahms
Symphony No. 3 in F major by Johannes Brahms,Symphony No. 3 in F Major by Johannes Brahms
L'amour est un oiseau rebelle (Habanera) (from Carmen) by Georges Bizet,L'amour est un oiseau rebelle (Habanera) (from Carmen) by Georges Bizet
L'amour est un oiseau rebelle (Habanera) (from Carmen) by Georges Bizet,L'amour est un oiseau rebelle 'Habanera' (from Carmen) by Georges Bizet
L'enfant et les sortilèges by Maurice Ravel,L'enfant et les sortilèges by Maurice Ravel
L'enfant et les sortilèges by Maurice Ravel,L'Enfant et les Sortilèges by Maurice Ravel
Bach Goes To Town by Benny Goodman and His Orchestra,Bach Goes To Town by Benny Goodman and His Orchestra
Bach Goes To Town by Benny Goodman and His Orchestra,Bach Goes to Town by Benny Goodman and His Orchestra
The Dream Of Gerontius by Edward Elgar,The Dream Of Gerontius by Edward Elgar
The Dream Of Gerontius by Edward Elgar,The Dream of Gerontius by Edward Elgar
Drive In Saturday by David Bowie,Drive In Saturday by David Bowie
Drive In Saturday by David Bowie,Drive in Saturday by David Bowie
Take the A Train by Duke Ellington & His Orchestra,Take the A Train by Duke Ellington & His Orchestra
Take the A Train by Duke Ellington & His Orchestra,Take The A Train by Duke Ellington & His Orchestra
Young Person's Guide To The Orchestra by Benjamin Britten,Young Person's Guide To The Orchestra by Benjamin Britten
Young Person's Guide To The Orchestra by Benjamin Britten,Young Person's Guide to the Orchestra by Benjamin Britten
Speech At The Oxford Union by Gerard Hoffnung,Speech At The Oxford Union by Gerard Hoffnung
Speech At The Oxford Union by Gerard Hoffnung,Speech at the Oxford Union by Gerard Hoffnung
The Songs Of The Black Hussars by Chauve-Souris Company,The Songs Of The Black Hussars by Chauve-Souris Company
The Songs Of The Black Hussars by Chauve-Souris Company,The Songs of the Black Hussars by Chauve-Souris Company
Piano Concerto No. 5 in E flat major 'Emperor'  - 2nd movement by Ludwig van Beethoven,Piano Concerto No. 5 in E flat major 'Emperor'  - 2nd movement by Ludwig van Beethoven
Piano Concerto No. 5 in E flat major 'Emperor'  - 2nd movement by Ludwig van Beethoven,Piano Concerto No. 5 in E flat major 'Emperor' - 2nd movement by Ludwig van Beethoven
Au fond du temple saint (from The Pearl Fishers) by Georges Bizet,Au fond du temple saint (from The Pearl Fishers) by Georges Bizet
Au fond du temple saint (from The Pearl Fishers) by Georges Bizet,Au fond du Temple Saint from the Pearl Fishers by Georges Bizet
I Want To Hold Your Hand by The Beatles,I Want To Hold Your Hand by The Beatles
I Want To Hold Your Hand by The Beatles,I Want to Hold Your Hand by The Beatles
Falling In Love Again by Marlene Dietrich,Falling In Love Again by Marlene Dietrich
Falling In Love Again by Marlene Dietrich,Falling in Love Again by Marlene Dietrich
Life Is Just A Bowl Of Cherries by Judy Garland,Life Is Just A Bowl Of Cherries by Judy Garland
Life Is Just A Bowl Of Cherries by Judy Garland,Life is Just a Bowl of Cherries by Judy Garland
Love For Sale by Ella Fitzgerald,Love For Sale by Ella Fitzgerald
Love For Sale by Ella Fitzgerald,Love for Sale by Ella Fitzgerald
Quartet for the End of Time by Olivier Messiaen,Quartet for the End of Time by Olivier Messiaen
Quartet for the End of Time by Olivier Messiaen,Messiaen: Quartet for the End of Time by Olivier Messiaen
A Mind Of Winter by George Benjamin,A Mind Of Winter by George Benjamin
A Mind Of Winter by George Benjamin,A Mind of Winter by George Benjamin
Let It Be Me by The Everly Brothers,Let It Be Me by The Everly Brothers
Let It Be Me by The Everly Brothers,Let it Be Me by The Everly Brothers
Do You Really Want To Hurt Me by Culture Club,Do You Really Want To Hurt Me by Culture Club
Do You Really Want To Hurt Me by Culture Club,Do You Really Want To Hurt Me? by Culture Club
Scotland The Brave by Kenneth McKellar,Scotland The Brave by Kenneth McKellar
