transformed_value,cluster_value
You've Got To Pick A Pocket Or Two by Jonathan Pryce,You've Got to Pick a Pocket or Two by Jonathan Pryce
Nancy With the Laughing Face by Frank Sinatra,Nancy With the Laughing Face by Frank Sinatra
Nancy With the Laughing Face by Frank Sinatra,Nancy with the Laughing Face by Frank Sinatra
Dove sono (from The Marriage of Figaro) by Wolfgang Amadeus Mozart,Dove sono (from The Marriage of Figaro) by Wolfgang Amadeus Mozart
Dove sono (from The Marriage of Figaro) by Wolfgang Amadeus Mozart,Dove Sono from the Marriage of Figaro by Wolfgang Amadeus Mozart
Che farò senza Euridice (What is Life?) (from Orpheus and Euridice) by Christoph Willibald Gluck,Che farò senza Euridice (What is Life?) (from Orpheus and Euridice) by Christoph Willibald Gluck
Che farò senza Euridice (What is Life?) (from Orpheus and Euridice) by Christoph Willibald Gluck,Christoph Willibald Gluck - Che farò senza Euridice (What is Life?) (from Orpheus and Euridice) by Christoph Willibald Gluck
"Falstaff Act 1, Scene 2 by Giuseppe Verdi","Falstaff Act 1, Scene 2 by Giuseppe Verdi"
"Falstaff Act 1, Scene 2 by Giuseppe Verdi","Falstaff Act 2, Scene 1 by Giuseppe Verdi"
What a Mouth (What A North and South) by Tommy Steele,What a Mouth (What A North and South) by Tommy Steele
What a Mouth (What A North and South) by Tommy Steele,What a Mouth (What a North and South) by Tommy Steele
"String Trio, Op. 45 by Arnold Schoenberg","String Trio, Op. 45 by Arnold Schoenberg"
"String Trio, Op. 45 by Arnold Schoenberg","String Trio, Op 45 by Arnold Schoenberg"
April In Paris by Count Basie & His Orchestra,April In Paris by Count Basie & His Orchestra
April In Paris by Count Basie & His Orchestra,April in Paris by Count Basie & His Orchestra
Hit The Road Jack by Ray Charles,Hit The Road Jack by Ray Charles
Hit The Road Jack by Ray Charles,Hit the Road Jack by Ray Charles
Fight the Power by Public Enemy,Fight the Power by Public Enemy
Fight the Power by Public Enemy,Fight The Power by Public Enemy
Barcarolle (from Tales of Hoffman) by Jacques Offenbach,Barcarolle (from Tales of Hoffman) by Jacques Offenbach
Barcarolle (from Tales of Hoffman) by Jacques Offenbach,Barcarolle (from Tales Of Hoffman) by Jacques Offenbach
Take the A Train by Duke Ellington,Take the A Train by Duke Ellington
Take the A Train by Duke Ellington,Take The A Train by Duke Ellington
A Mass Of Life by Frederick Delius,A Mass Of Life by Frederick Delius
A Mass Of Life by Frederick Delius,A Mass of Life by Frederick Delius
On The Sunny Side Of The Street by Tommy Dorsey and His Orchestra,On The Sunny Side Of The Street by Tommy Dorsey and His Orchestra
